"GEOID","Med_HH_Inc"
"01001",57982
"01003",61756
"01005",34990
"01007",51721
"01009",48922
"01011",33866
"01013",44850
"01015",50128
"21135",29844
"21137",42231
"21139",52795
"21141",48912
"21143",49286
"21145",47011
"21147",29499
"21151",51649
"21155",43587
"21157",57348
"21161",46241
"21163",61500
"21167",52312
"21169",40391
"21173",46998
"21175",37399
"21179",63032
"21181",47665
"21185",103761
"21187",50553
"21191",56000
"21195",34700
"21197",41071
"21201",53074
"21203",38744
"21207",41731
"21209",71750
"21213",50159
"21215",85488
"21219",47229
"21223",57589
"21225",49812
"21229",55321
"21231",37678
"21235",39258
"21237",22292
"23001",55002
"23003",43791
"23007",51630
"23009",58345
"23013",57794
"23015",58125
"23019",52128
"23021",42083
"23025",45382
"23029",44847
"23031",68932
"27003",84379
"27005",60508
"27007",50525
"27009",60564
"27011",55909
"27013",61058
"27015",59804
"27017",66201
"27019",104011
"27021",53845
"27023",57301
"27025",86900
"47121",50733
"47125",60878
"47127",63762
"47131",39985
"47133",36478
"47137",43125
"47139",45326
"47143",46096
"47145",55578
"47149",68718
"47151",37135
"47153",44217
"47157",52092
"47159",48611
"47163",47438
"47165",69878
"47169",56981
"47171",44526
"47175",47576
"47177",42668
"47181",42206
"47183",41488
"47187",111196
"47189",78962
"49003",63573
"49005",60530
"49009",74911
"49011",87570
"49015",57772
"49017",44279
"49019",56639
"49021",52045
"49023",68333
"49025",49486
"49027",63221
"49029",100408
"49031",29125
"49033",63917
"49035",77128
"49037",49690
"49039",55820
"49041",55361
"49043",106973
"49045",76737
"49047",59428
"49049",77057
"49051",85807
"49053",61747
"49055",49299
"49057",71275
"50003",58200
"50005",52481
"50009",47035
"50011",65314
"50015",64179
"50017",62737
"50021",57176
"50023",64862
"50027",61503
"51001",46178
"27165",53304
"29037",72522
"29043",64442
"29049",62213
"29055",44380
"29061",52143
"29067",43714
"29073",56380
"29079",46885
"29085",33342
"29091",39482
"29097",49155
"29101",56440
"29107",62076
"29113",70424
"29119",42876
